algorithm,seed,F_0,F_1,x_0,x_1,x_2,x_3,x_4,x_5
nsga2,42,-2.794946744430515,-0.12500000816759022,-4.999989389080197,0.530000001167803,4.340000001273844,5.349999924359845,3.6399999478107765,0.12500000816759022
nsga2,42,26.02644645730679,-0.45,-4.999978077249058,0.5999986757675305,4.340029427304583,5.34999374590642,3.6399555014291702,0.45
nsga2,42,7.5942029816428835,-0.3921294874673772,-4.9999570948414895,0.5988459835264708,4.340000217009571,5.3499992163184915,3.6369091446549393,0.3921294874673772
nsga2,42,-0.07291652256731496,-0.26485760709012135,-4.99861250093665,0.5300142189945181,4.340013345143606,5.349997188119535,3.6399998894274392,0.26485760709012135
nsga2,42,0.19325651231312158,-0.27538455135850026,-4.999908970730175,0.5318953963077669,4.340066480356582,5.349999160869978,3.6399998767038264,0.27538455135850026
nsga2,42,-1.7490393642849806,-0.17979220800474355,-4.996849901061059,0.5301511467105635,4.340717238716402,5.349999821316009,3.639995560225191,0.17979220800474355
nsga2,42,-1.5548189941348127,-0.1901362447080224,-4.998415878596943,0.5300007395219011,4.340543792862485,5.349999845159119,3.6399999517210024,0.1901362447080224
nsga2,42,14.87421103365178,-0.4238672191699993,-4.9999965089244975,0.5999512414682783,4.340000896715451,5.349998973009627,3.639906049599001,0.4238672191699993
nsga2,42,20.222435585632642,-0.4377098097510916,-4.998642624908159,0.5979200028202228,4.340003283098942,5.349990585662865,3.639956128214728,0.4377098097510916
nsga2,42,16.413716396664114,-0.42833693331701733,-4.996871933861318,0.5999830295717328,4.340008571409066,5.34988432804393,3.639939882181705,0.42833693331701733
nsga2,42,6.252414784748283,-0.38092521879745617,-4.6153559430247935,0.5310488376453336,4.38013942167627,5.349988409287986,3.6399999366340454,0.38092521879745617
nsga2,42,4.853020553062957,-0.37196243108841337,-4.9998655378271515,0.5300007213300137,4.340010184492884,5.349999133223207,3.6399999224374064,0.37196243108841337
nsga2,42,2.9152614667464745,-0.350156771690416,-4.985430981352609,0.5300093402854373,4.340027069411455,5.3499972081842895,3.639999981596978,0.350156771690416
